DATA_USCITA,ALTRO,DEGENZA CHIR GENERALE NO COVID,DEGENZA CHIR SPECIALISTICA NO COVID,DEGENZA COVID BASSA INTENSITA,DEGENZA MED GENERALE NO COVID,DEGENZA MED SPECIALISTICA NO COVID,DEGENZA ORDINARIA COVID,EMERGENZA-URGENZA,ORTOPEDIA,SOSPETTI COVID,SUB INTENSIVA COVID,SUB INTENSIVA NO COVID,TERAPIA INTENSIVA COVID,TERAPIA INTENSIVA NO COVID
2020-02-16,28.0,10.0,29.0,0.0,21.0,21.0,0.0,9.0,2.0,0.0,0.0,5.0,0.0,5.0
2020-02-17,74.0,13.0,85.0,0.0,92.0,65.0,0.0,20.0,12.0,0.0,0.0,18.0,0.0,22.0
2020-02-18,75.0,37.0,113.0,0.0,96.0,65.0,0.0,23.0,9.0,0.0,0.0,18.0,0.0,18.0
2020-02-19,65.0,23.0,93.0,0.0,86.0,71.0,0.0,10.0,17.0,0.0,0.0,16.0,0.0,17.0
2020-02-20,73.0,27.0,133.0,0.0,78.0,77.0,0.0,14.0,4.0,0.0,0.0,20.0,0.0,24.0
2020-02-21,82.0,41.0,116.0,0.0,120.0,80.0,0.0,12.0,6.0,0.0,0.0,21.0,0.0,24.0
2020-02-22,67.0,22.0,91.0,0.0,57.0,40.0,0.0,11.0,3.0,0.0,0.0,10.0,0.0,14.0
2020-02-23,41.0,9.0,44.0,0.0,8.0,33.0,0.0,10.0,1.0,0.0,0.0,7.0,0.0,7.0
2020-02-24,70.0,16.0,75.0,0.0,86.0,70.0,0.0,18.0,12.0,0.0,0.0,16.0,0.0,23.0
2020-02-25,61.0,32.0,125.0,0.0,108.0,64.0,0.0,13.0,12.0,0.0,0.0,19.0,0.0,18.0
2020-02-26,72.0,24.0,100.0,0.0,78.0,70.0,0.0,10.0,10.0,0.0,0.0,16.0,0.0,27.0
2020-02-27,74.0,44.0,101.0,0.0,87.0,80.0,0.0,8.0,8.0,0.0,0.0,15.0,0.0,26.0
2020-02-28,65.0,28.0,122.0,0.0,103.0,76.0,0.0,9.0,8.0,0.0,0.0,17.0,0.0,19.0
2020-02-29,53.0,24.0,77.0,0.0,43.0,65.0,0.0,9.0,7.0,0.0,0.0,9.0,0.0,8.0
2020-03-01,25.0,10.0,44.0,0.0,10.0,21.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,7.0
2020-03-02,70.0,18.0,80.0,0.0,81.0,73.0,0.0,13.0,12.0,0.0,0.0,20.0,0.0,31.0
2020-03-03,64.0,27.0,105.0,0.0,76.0,60.0,0.0,12.0,7.0,0.0,0.0,18.0,0.0,24.0
2020-03-04,64.0,26.0,101.0,0.0,93.0,75.0,0.0,11.0,9.0,0.0,0.0,16.0,0.0,20.0
2020-03-05,83.0,22.0,134.0,0.0,79.0,75.0,0.0,18.0,7.0,0.0,0.0,13.0,2.0,17.0
2020-03-06,96.0,36.0,96.0,0.0,101.0,75.0,0.0,16.0,10.0,0.0,0.0,20.0,2.0,17.0
2020-03-07,53.0,21.0,82.0,0.0,68.0,72.0,1.0,14.0,4.0,7.0,0.0,5.0,1.0,15.0
2020-03-08,22.0,10.0,34.0,0.0,10.0,44.0,0.0,8.0,0.0,21.0,0.0,3.0,2.0,6.0
2020-03-09,60.0,21.0,78.0,0.0,81.0,62.0,2.0,9.0,12.0,9.0,0.0,22.0,2.0,12.0
2020-03-10,55.0,18.0,68.0,0.0,76.0,63.0,4.0,13.0,9.0,15.0,0.0,16.0,14.0,11.0
2020-03-11,54.0,19.0,58.0,0.0,67.0,60.0,4.0,16.0,7.0,22.0,0.0,18.0,9.0,16.0
2020-03-12,63.0,19.0,63.0,2.0,74.0,62.0,9.0,15.0,6.0,16.0,0.0,18.0,2.0,20.0
2020-03-13,80.0,17.0,40.0,2.0,87.0,65.0,12.0,15.0,5.0,18.0,0.0,20.0,6.0,17.0
2020-03-14,49.0,14.0,43.0,1.0,48.0,33.0,11.0,8.0,5.0,15.0,1.0,8.0,6.0,10.0
2020-03-15,25.0,17.0,28.0,0.0,12.0,17.0,8.0,6.0,1.0,33.0,3.0,1.0,1.0,8.0
2020-03-16,54.0,21.0,77.0,1.0,74.0,53.0,6.0,6.0,6.0,44.0,1.0,8.0,6.0,9.0
2020-03-17,46.0,7.0,28.0,0.0,86.0,45.0,15.0,10.0,5.0,37.0,6.0,15.0,3.0,7.0
2020-03-18,60.0,14.0,33.0,3.0,97.0,49.0,25.0,9.0,5.0,32.0,2.0,11.0,7.0,6.0
2020-03-19,62.0,16.0,32.0,0.0,120.0,41.0,25.0,8.0,5.0,34.0,5.0,9.0,9.0,15.0
2020-03-20,66.0,16.0,40.0,11.0,62.0,59.0,32.0,6.0,4.0,30.0,7.0,12.0,12.0,15.0
2020-03-21,54.0,18.0,39.0,10.0,40.0,39.0,37.0,4.0,3.0,34.0,5.0,3.0,10.0,8.0
2020-03-22,31.0,12.0,25.0,3.0,12.0,37.0,42.0,7.0,0.0,29.0,3.0,1.0,9.0,7.0
2020-03-23,61.0,14.0,38.0,10.0,61.0,49.0,41.0,3.0,4.0,20.0,4.0,8.0,8.0,3.0
2020-03-24,47.0,3.0,43.0,16.0,58.0,47.0,48.0,8.0,4.0,22.0,4.0,7.0,10.0,3.0
